PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON_EXP,DRAFT_NUMBER,PRA,TOT_GAMES,GP_pct,Opp_met,DRAFT_BUCKET
1630679,Ethan Thompson,Ethan,1610612754,IND,26.0,1,0,1,0.0,7.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.5,0,0,3.0,479,468,430,468,426,393,416,140,416,363,416,444,447,444,452,475,480,318,455,443,406,418,368,458,424,181,458,145,17,461,1,0,61,3.0,21,0.0476190476190476,0.3666666666666667,15
1642864,Hugo González,Hugo,1610612738,BOS,19.0,16,9,7,0.563,11.7,1.1,2.6,0.415,0.4,1.0,0.375,0.1,0.3,0.4,0.6,1.3,1.9,0.6,0.4,0.8,0.1,0.3,1.9,0.8,2.6,1.8,8.3,0,0,7.4,224,154,201,226,355,390,388,342,338,363,160,432,414,433,280,353,345,384,385,172,342,293,227,329,396,146,370,145,17,376,1,0,28,5.1,21,0.7619047619047619,10.51885714285714,15
1630621,Hunter Dickinson,Hunter,1610612740,NOP,25.0,1,0,1,0.0,4.7,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,-12.0,3.0,0,0,4.0,479,468,430,468,453,393,416,140,416,450,416,444,447,444,452,475,480,461,85,443,43,418,190,458,424,485,464,145,17,443,1,0,61,2.0,22,0.0454545454545454,-0.0427272727272727,15
1642282,Hunter Sallis,Hunter,1610612755,PHI,22.0,6,3,3,0.5,4.2,0.5,0.8,0.6,0.0,0.0,0.0,0.2,0.3,0.5,0.0,0.2,0.2,0.7,0.8,0.0,0.2,0.0,0.3,0.3,1.2,-2.7,2.0,0,0,2.3,408,347,368,248,461,450,470,54,416,450,416,420,405,401,452,470,478,373,266,443,307,418,466,406,467,355,477,145,17,473,1,0,61,2.1,20,0.3,0.9198,15
1642942,Jahmai Mashack,Jahmai,1610612763,MEM,23.0,1,1,0,1.0,6.4,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,8.4,0,0,10.0,479,433,469,1,439,301,317,140,79,157,26,444,447,444,452,258,321,461,455,443,406,418,481,458,288,181,368,145,17,330,1,0,59,8.0,22,0.0454545454545454,0.32,15
1643141,Jahmyl Telfort,Jahmyl,1610612746,LAC,24.0,7,1,6,0.143,4.2,0.0,0.6,0.0,0.0,0.6,0.0,0.1,0.6,0.25,0.0,0.4,0.4,0.1,0.1,0.1,0.0,0.0,0.6,0.3,0.1,-1.3,1.2,0,0,1.0,390,433,244,438,460,479,476,479,416,410,416,425,359,441,452,456,466,453,438,421,406,418,435,421,480,295,487,145,17,484,1,0,61,0.6,21,0.3333333333333333,1.218,15
1642364,Jamir Watkins,Jamir,1610612764,WAS,24.0,5,1,4,0.2,6.6,0.8,1.6,0.5,0.2,0.8,0.25,0.4,0.4,1.0,0.2,1.0,1.2,0.0,0.2,0.0,0.2,0.2,1.2,0.4,2.2,-3.0,4.0,0,0,4.0,423,433,325,410,434,423,442,140,385,393,361,357,392,1,417,385,410,461,434,443,280,327,338,396,421,368,449,145,17,443,1,0,43,3.4000000000000004,20,0.25,1.1549999999999998,15
1642859,Jase Richardson,Jase,1610612753,ORL,20.0,11,6,5,0.545,6.2,1.0,2.1,0.478,0.5,1.0,0.455,0.4,0.5,0.8,0.1,0.5,0.6,0.9,0.4,0.1,0.0,0.1,0.4,0.6,2.8,1.5,4.9,0,0,5.0,333,243,290,238,441,393,411,202,328,363,53,368,381,178,447,441,456,341,389,437,406,397,465,345,391,163,433,145,17,423,1,0,25,4.3,21,0.5238095238095238,3.734761904761905,15
1642914,Javon Small,Javon,1610612763,MEM,22.0,8,4,4,0.5,12.4,1.3,3.5,0.357,0.8,2.4,0.316,1.0,1.3,0.8,0.1,0.9,1.0,2.8,1.0,0.0,0.1,0.4,0.9,1.0,4.3,0.5,9.0,0,0,9.0,373,305,325,248,345,366,336,419,262,255,287,242,264,178,439,410,422,137,222,443,342,221,397,277,341,208,356,145,17,351,1,0,48,8.1,22,0.3636363636363636,4.734545454545455,15
1631451,Javonte Cooke,Javonte,1610612757,POR,26.0,3,1,2,0.333,7.9,1.0,3.3,0.3,0.3,1.3,0.25,0.0,0.0,0.0,0.3,0.0,0.3,1.0,1.0,0.3,0.0,0.7,0.3,0.0,2.3,-2.7,4.2,0,0,4.7,446,433,401,337,409,393,345,457,345,339,361,444,447,444,362,475,471,318,222,360,406,89,466,458,412,355,444,145,17,432,1,0,61,3.6,21,0.1428571428571428,0.8238571428571428,15
1642847,Jeremiah Fears,Jeremiah,1610612740,NOP,19.0,22,3,19,0.136,27.5,5.9,13.0,0.449,1.3,3.5,0.364,2.7,3.4,0.787,0.6,2.6,3.3,2.8,2.3,1.5,0.2,1.2,1.9,3.3,15.7,-9.6,26.6,0,0,26.4,1,347,1,448,132,86,78,277,177,176,188,91,93,212,259,200,226,132,60,36,298,14,224,71,96,482,132,145,17,125,1,0,7,21.8,22,1.0,1.100000000000001,7
1642866,Joan Beringer,Joan,1610612750,MIN,19.0,9,6,3,0.667,4.1,0.9,1.2,0.727,0.0,0.0,0.0,0.2,0.3,0.667,0.2,1.1,1.3,0.0,0.2,0.1,0.2,0.0,1.0,0.3,2.0,-0.1,4.4,0,0,4.0,358,243,368,119,463,411,456,17,416,450,416,408,405,342,411,376,396,461,430,430,270,418,368,406,424,239,442,145,17,443,1,0,17,3.3,21,0.4285714285714285,1.7395714285714283,15
1641780,Johni Broome,Johni,1610612755,PHI,23.0,6,3,3,0.5,6.5,0.7,3.3,0.2,0.0,0.5,0.0,0.3,0.7,0.5,1.0,1.2,2.2,0.7,0.3,0.3,0.0,0.5,0.8,0.8,1.7,-4.2,5.9,0,0,5.2,408,347,368,248,437,433,345,471,416,413,416,371,338,401,156,370,308,373,397,360,406,144,401,314,444,416,410,145,17,420,1,0,35,4.6000000000000005,20,0.3,1.131,15
1642857,Kasparas Jakučionis,Kasparas,1610612748,MIA,19.0,1,1,0,1.0,0.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,3.0,0,0,2.0,479,433,469,1,491,479,416,479,416,450,416,444,447,444,452,475,480,461,455,99,406,27,481,458,481,322,464,145,17,475,1,0,20,0.0,21,0.0476190476190476,0.0342857142857142,15
1642863,Khaman Maluach,Khaman,1610612756,PHX,19.0,10,6,4,0.6,4.4,0.3,0.8,0.375,0.0,0.3,0.0,0.7,0.8,0.875,0.1,0.5,0.6,0.1,0.5,0.0,0.4,0.2,0.9,0.6,1.3,-1.8,2.9,0,0,2.8,352,243,325,185,457,473,471,390,416,434,416,299,322,84,446,443,459,459,342,443,161,327,395,356,460,312,469,145,17,467,1,0,10,2.0,22,0.4545454545454545,1.64,10
